chemID,chemMaterial,chemName,chemConcentration,chemAmountExpected,chemAmountUnit,chemLocationRoom,chemLocationCabinet,chemLocationShelf,chemSDS,chemNotes,chemInstrument
321,Non-Flammable Organics,Sulfanilic Acid,99%,1200,g,Prep Room,None,None,1,,
322,Non-Flammable Organics,Sulfonic Acid,Solid,1200,g,Prep Room,None,None,1,,
323,Non-Flammable Organics,Tartaric Acid,Solid,1200,g,Prep Room,None,None,1,,
324,Non-Flammable Organics,p-Terphenyl,99%,1200,g,Prep Room,None,None,1,,
325,Non-Flammable Organics,Tetrabutylammoniumhydroxide,25%,1200,mL,Prep Room,None,None,1,,
326,Non-Flammable Organics,Tetrachloroethylene,95%,1200,L,Prep Room,None,None,1,,
327,Non-Flammable Organics,Theopylline,Solid,1200,g,Prep Room,None,None,1,,
328,Non-Flammable Organics,Thioacetamide,Solid,1200,g,Prep Room,None,None,1,,
329,Non-Flammable Organics,Thioacetamide,1.0 M,1200,mL,Prep Room,None,None,1,,
330,Non-Flammable Organics,Tocopherol,40%,1200,g,Prep Room,None,None,1,,
331,Non-Flammable Organics,p-Tolualdehyde,97%,1200,mL,Prep Room,None,None,1,,
332,Non-Flammable Organics,m-Toluic Acid,99%,1200,g,Prep Room,None,None,1,,
333,Non-Flammable Organics,o-Toluic Acid,99%,1200,g,Prep Room,None,None,1,,
334,Non-Flammable Organics,p-Toluidine,99.70%,1200,g,Prep Room,None,None,1,,
335,Non-Flammable Organics,"2,4,6-Trichlorophenol",98%,1200,g,Prep Room,None,None,1,,
336,Non-Flammable Organics,Triethylene Glycol,99%,1200,mL,Prep Room,None,None,1,,
337,Non-Flammable Organics,"Trimethyl 1,3,5-benzenetricarboxylate",98%,1200,g,Prep Room,None,None,1,,
338,Non-Flammable Organics,Triphenylmethanol,97%,1200,g,Prep Room,None,None,1,,
339,Non-Flammable Organics,Triphenylphospine,99%,1200,g,Prep Room,None,None,1,,
340,Non-Flammable Organics,Tween 80,58%,1200,mL,Prep Room,None,None,1,,
341,Non-Flammable Organics,Undecanoic Acid,Solid,1200,g,Prep Room,None,None,1,,
342,Non-Flammable Organics,Urea,100%,1200,g,Prep Room,None,None,1,,
343,Biochem,Adenine,Solid,1200,g,Prep Room,None,None,1,,
344,Biochem,Alpha Alanine,Solid,1200,g,Prep Room,None,None,1,,
345,Biochem,Beta Alanine,Solid,1200,g,Prep Room,None,None,1,,
346,Biochem,Albumin,Solid,1200,g,Prep Room,None,None,1,,
347,Biochem,Aminoacetic Acid,Solid,1200,g,Prep Room,None,None,1,,
348,Biochem,L-Arginine,Solid,1200,g,Prep Room,None,None,1,,
349,Biochem,L-Ascorbic Acid,Solid,1200,g,Prep Room,None,None,1,,
350,Biochem,L-Asparagine,Solid,1200,g,Prep Room,None,None,1,,
351,Biochem,DL Aspartic Acid,Solid,1200,g,Prep Room,None,None,1,,
352,Biochem,Bathophenanthroline,Solid,1200,g,Prep Room,None,None,1,,
353,Biochem,Bio-Gel HT,Solid,1200,g,Prep Room,None,None,1,,
354,Biochem,Brilliant Blue R,55%,1200,g,Prep Room,None,None,1,,
355,Biochem,CM Cellulose,Solid,1200,g,Prep Room,None,None,1,,
356,Biochem,DEAE Cellulose,Solid,1200,g,Prep Room,None,None,1,,
357,Biochem,MN-Cellulose,Solid,1200,g,Prep Room,None,None,1,,
358,Biochem,L Cystine,Solid,1200,g,Prep Room,None,None,1,,
359,Biochem,L Cystine Hydrochloride,Solid,1200,g,Prep Room,None,None,1,,
360,Biochem,Dextran 10,Solid,1200,g,Prep Room,None,None,1,,
361,Biochem,Dextran T20,Solid,1200,g,Prep Room,None,None,1,,
362,Biochem,Dextran T40,Solid,1200,g,Prep Room,None,None,1,,
363,Biochem,Dextran T110 ,Solid,1200,g,Prep Room,None,None,1,,
364,Biochem,Dextrine,Solid,1200,g,Prep Room,None,None,1,,
365,Biochem,D-Fructose,98%,1200,g,Prep Room,None,None,1,,
366,Biochem,Gentian Violet,Solid,1200,g,Prep Room,None,None,1,,
367,Biochem,D-Glucose,96%,1200,g,Prep Room,None,None,1,,
368,Biochem,Glucose Oxidase,Solid,1200,g,Prep Room,None,None,1,,
369,Biochem,L Glutamic Acid,Solid,1200,g,Prep Room,None,None,1,,
370,Biochem,L-Glutamine,99%,1200,g,Prep Room,None,None,1,,
371,Biochem,Glycinamide,Solid,1200,g,Prep Room,None,None,1,,
372,Biochem,Glycine,Solid,1200,g,Prep Room,None,None,1,,
373,Biochem,Glycine Ethyl Ester,Solid,1200,g,Prep Room,None,None,1,,
374,Biochem,Glycyl-Glycine,Solid,1200,g,Prep Room,None,None,1,,
375,Biochem,L-Histidine HCl,Solid,1200,g,Prep Room,None,None,1,,
376,Biochem,Isoleucine,Solid,1200,g,Prep Room,None,None,1,,
377,Biochem,Lauryl Sufate,95%,1200,g,Prep Room,None,None,1,,
378,Biochem,L-Lysine Dihydrochloride,Solid,1200,g,Prep Room,None,None,1,,
379,Biochem,DL Methionine,Solid,1200,g,Prep Room,None,None,1,,
380,Biochem,N-tris(hydroxymethyl)methyl-2-amino-ethane Sulfonic Acid,Solid,1200,g,Prep Room,None,None,1,,
381,Biochem,3-(N-Morpholino)propanesulfonic Acid,Solid,1200,g,Prep Room,None,None,1,,
382,Biochem,DL Norleucine,Solid,1200,g,Prep Room,None,None,1,,
383,Biochem,DL Norvaline,Solid,1200,g,Prep Room,None,None,1,,
384,Biochem,DL Phenylalanine,Solid,1200,g,Prep Room,None,None,1,,
385,Biochem,Phenylglyoxal Monohydrate,97%,1200,g,Prep Room,None,None,1,,
386,Biochem,L-Proline,Solid,1200,g,Prep Room,None,None,1,,
387,Biochem,Protamine Sulfate,Solid,1200,g,Prep Room,None,None,1,,
388,Biochem,Raffinose,Solid,1200,g,Prep Room,None,None,1,,
389,Biochem,L-Rhamnose,Solid,1200,g,Prep Room,None,None,1,,
390,Biochem,Riboflavin,Solid,1200,g,Prep Room,None,None,1,,
391,Biochem,Sephadex,A-25,1200,g,Prep Room,None,None,1,,
392,Biochem,Sephadex,C-25,1200,g,Prep Room,None,None,1,,
393,Biochem,Sephadex,C-50,1200,g,Prep Room,None,None,1,,
394,Biochem,Sephadex,G-10,1200,g,Prep Room,None,None,1,,
395,Biochem,Sephadex,G-15,1200,g,Prep Room,None,None,1,,
396,Biochem,Sephadex,G-25,1200,g,Prep Room,None,None,1,,
397,Biochem,Sephadex,G-50,1200,g,Prep Room,None,None,1,,
398,Biochem,Sephadex,G-100,1200,g,Prep Room,None,None,1,,
399,Biochem,Sephadex,G-200,1200,g,Prep Room,None,None,1,,
400,Biochem,Sephadex,LH-20,1200,g,Prep Room,None,None,1,,
401,Biochem,DL Serine,Solid,1200,g,Prep Room,None,None,1,,
402,Biochem,Sodium Dodecyl Sulfate,99%,1200,g,Prep Room,None,None,1,,
403,Biochem,Sorbic Acid,99%,1200,g,Prep Room,None,None,1,,
404,Biochem,Sucralose,Solid,1200,g,Prep Room,None,None,1,,
405,Biochem,Sucrose,Solid,1200,kg,Prep Room,None,None,1,,
406,Biochem,Starch,Solid,1200,kg,Prep Room,None,None,1,,
407,Biochem,Sulphoxyethyl Cellulose,Solid,1200,g,Prep Room,None,None,1,,
408,Biochem,TAPS,Solid,1200,g,Prep Room,None,None,1,,
409,Biochem,DL Threonine,Solid,1200,g,Prep Room,None,None,1,,
410,Biochem,L-Tryptophan,98%,1200,g,Prep Room,None,None,1,,
411,Biochem,DL Tyrosine,Solid,1200,g,Prep Room,None,None,1,,
412,Biochem,DL Valine,Solid,1200,g,Prep Room,None,None,1,,
413,Biochem,Vitamin A,Solid,1200,g,Prep Room,None,None,1,,
414,Biochem,Vitamin B,Solid,1200,g,Prep Room,None,None,1,,
415,Synthetics,Amberlite,,1200,g,None,None,None,1,,
416,Synthetics,Boiling Chips,,1200,g,None,None,None,1,,
417,Synthetics,Dessicant,,1200,g,None,None,None,1,,
418,Synthetics,Glass Beads,,1200,g,None,None,None,1,,
419,Synthetics,Molecular Sieves,,1200,g,None,None,None,1,,
420,Synthetics,Plaster Paris,,1200,g,None,None,None,1,,
421,Synthetics,Resin,,1200,g,None,None,None,1,,
422,Synthetics,Silica Gel,,1200,g,None,None,None,1,,
423,Synthetics,Soda Lime,,1200,g,None,None,None,1,,
424,Indicators,Aluminon,Solid,1200,g,None,None,None,1,,
425,Indicators,Aluminon,0.10 M,1200,mL,None,None,None,1,,
426,Indicators,Aluminon,1%,1200,mL,None,None,None,1,,
427,Indicators,Amido Black,Solid,1200,g,None,None,None,1,,
428,Indicators,Ammonia Color Concentrate,Solid,1200,g,None,None,None,0,,
429,Indicators,Alizarin Red,0.20%,1200,mL,None,None,None,1,,
430,Indicators,Bromophenol Blue,,1200,mL,None,None,None,1,,
431,Indicators,Bromocresol Green,0.0000993,1200,mL,None,None,None,1,,
432,Indicators,Bromocresol Purple,,1200,mL,None,None,None,1,,
433,Indicators,Eriochrome Black,Solid,1200,g,None,None,None,1,,
434,Indicators,Magneson,,1200,mL,None,None,None,1,,
435,Indicators,Methylene Blue,1%,1200,L,None,None,None,1,,
436,Indicators,Methyl Orange,Solid,1200,g,None,None,None,1,,
437,Indicators,Methyl Orange,1%,1200,mL,None,None,None,,,
438,Indicators,Red Cabbage Extract,Solid,1200,g,None,None,None,1,,
439,Indicators,Methyl Red,Solid,1200,g,None,None,None,1,,
440,Indicators,Methyl Red,1%,1200,mL,None,None,None,,,
441,Indicators,Napthol Blue Black,Solid,1200,g,None,None,None,1,,
442,Indicators,Phenol Red,1%,1200,mL,None,None,None,1,,
443,Indicators,Starch Indicator,1%,1200,mL,None,None,None,1,,
444,Indicators,Thymol Blue,0.04%,1200,mL,None,None,None,1,,
445,Indicators,Universal Indicator,,1200,mL,None,None,None,1,,
446,Indicators,Phenolphthalein,Solid,1200,g,None,None,None,1,,
447,Indicators,Phenolphthalein,0.5% in 1:1 EtOH:H2O,1200,mL,None,None,None,1,,
448,Household Chemicals,Bleach,,1200,mL,None,None,None,,,
449,Household Chemicals,Clorox,,1200,of a bottle,None,None,None,,,
450,Household Chemicals,Vinegar,,1200,L,None,None,None,,,
451,Household Chemicals,Woolite,,1200,can,None,None,None,,,
452,Household Chemicals,WD-40,,1200,can,None,None,None,,,
453,Household Chemicals,Nail Polish Remover,,1200,of a bottle,None,None,None,,,
454,Household Chemicals,Table Salt,,1200,g,None,None,None,,,
455,Household Chemicals,Glass and Surface Cleaner,,1200,bottle,None,None,None,,,
456,Household Chemicals,Comet Cleaner,,1200,can,None,None,None,,,
457,Household Chemicals,Gain Ultra,,1200,bottle,None,None,None,,,
458,Household Chemicals,Brewing Tablets,,1200,bags,None,None,None,,,
459,Household Chemicals,Greenworks Cleaner,,1200,bottle,None,None,None,,,
460,Household Chemicals,Durex,,1200,gallon,None,None,None,,,
461,Household Chemicals,Windex,,1200,bottle,None,None,None,,,
462,Household Chemicals,409 Cleaner,,1200,bottle,None,None,None,,,
463,Household Chemicals,Fantastik,,1200,bottle,None,None,None,,,
464,Household Chemicals,Baking Soda,,1200,g,None,None,None,,,
465,Household Chemicals,SOS Cleaner,,1200,box,None,None,None,,,
466,Household Chemicals,Sta-Flo Starch,,1200,bottle,None,None,None,,,
467,Household Chemicals,Ibuprofen,,1200,bottles,None,None,None,,,
468,Household Chemicals,Iodine,,1200,bottle,None,None,None,,,
469,Household Chemicals,Lemon Juice,,1200,bottle,None,None,None,,,
470,Household Chemicals,Lime Juice,,1200,bottle,None,None,None,,,
471,Household Chemicals,Sunscreen,,1200,bottle,None,None,None,,,
472,Household Chemicals,Spray On Sunscreen,,1200,bottles,None,None,None,,,
473,Household Chemicals,Naproxen,,1200,bottles,None,None,None,,,
474,Household Chemicals,Analgesic,,1200,bottles,None,None,None,,,
475,Household Chemicals,Magnesia,,1200,bottle,None,None,None,,,
476,Household Chemicals,Glycerin,,1200,bottle,None,None,None,,,
477,Household Chemicals,Mucinex,,1200,bottle,None,None,None,,,
478,Household Chemicals,Iron Tablet,,1200,bottle,None,None,None,,,
479,Household Chemicals,Antacid,,1200,of a bottle,None,None,None,,33 tablets,
480,Household Chemicals,Lactase,,1200,tablets,None,None,None,,,
481,Household Chemicals,Grecian Formula,,1200,bottle,None,None,None,,,
482,Household Chemicals,Shortening,,1200,containers,None,None,None,,,
483,Household Chemicals,Whey Protein,,1200,large containers,None,None,None,,,
484,Household Chemicals,Detergent,,1200,bottles,None,None,None,,(each has 1/2),
485,Household Chemicals,Coke,,1200,liter,None,None,None,,,
486,Household Chemicals,Hydrogen Peroxide,,1200,bottles,None,None,None,,,
487,Household Chemicals,Cotton Balls,,1200,,None,None,None,,,
488,Household Chemicals,Propel,,1200,bottles,None,None,None,,,
489,Household Chemicals,Shampoo,,1200,bottle,None,None,None,,,
490,Household Chemicals,Sugar,,1200,bags,None,None,None,,,
491,Household Chemicals,Nutmeg,,1200,shakers,None,None,None,,,
492,Household Chemicals,Green Tea,,1200,a bag,None,None,None,,,
493,Household Chemicals,Molasses,,1200,container,None,None,None,,,
494,Household Chemicals,Sand,,1200,of a bottle,None,None,None,,,
495,Household Chemicals,Meat Tenderizer,,1200,shakers,None,None,None,,,
496,Household Chemicals,Corn Syrup,,1200,bottle,None,None,None,,,
497,Household Chemicals,Corn Starch,,1200,boxes,None,None,None,,,
498,Household Chemicals,Kool-aid,,1200,packets,None,None,None,,,
499,Household Chemicals,Vegetable Oil,,1200,L,None,None,None,,,
500,Household Chemicals,Olive Oil,,1200,bottle,None,None,None,,,
501,Household Chemicals,RainX,,1200,L,None,None,None,,,
502,Household Chemicals,Antifreeze,,1200,large bottle,None,None,None,,,
503,Household Chemicals,Gallon Freezer Bag,,1200,bags,None,None,None,,,
504,Household Chemicals,Food Dye,,1200,,None,None,None,,,
505,Household Chemicals,Misc. Snacks,,1200,different things,None,None,None,,,
506,Household Chemicals,Misc. Colored Water,,1200,,None,None,None,,,
507,Household Chemicals,Uriscan,,1200,strips,None,None,None,,,
508,Household Chemicals,Isopropyl Alcohol,,1200,ml,None,None,None,,,
509,Household Chemicals,Borax,,1200,big box,None,None,None,,,
510,Household Chemicals,Rolaids,,1200,tablets,None,None,None,,,
511,Household Chemicals,Glucose meter test strips,,1200,boxes,None,None,None,,,
512,Household Chemicals,Multivitamin ,,1200,bottles,None,None,None,,,
513,Household Chemicals,Active yeast,,1200,packets,None,None,None,,,
514,Household Chemicals,Peanut oil,,1200,of a gallon,None,None,None,,,
515,Household Chemicals,Honey ,,1200,of a bottle,None,None,None,,,
516,Household Chemicals,Popcorn kernels ,,1200,bottle,None,None,None,,,
517,Household Chemicals,Centrum ,,1200,bottle,None,None,None,,,
518,Household Chemicals,Dog food,,1200,of a bottle,None,None,None,,,
519,Household Chemicals,Granulated Alum  ,,1200,bottle,None,None,None,,,
520,Household Chemicals,Lutein,,1200,bottle,None,None,None,,,
521,Household Chemicals,Anacin,,1200,bottle,None,None,None,,,
522,Household Chemicals,Aspirin ,,1200,bottles,None,None,None,,,
523,Household Chemicals,Vitamin C,,1200,bottle,None,None,None,,,
524,Household Chemicals,Zinc Lozenges,,1200,bottle,None,None,None,,,
525,Household Chemicals,Vitamin B-1,,1200,bottles,None,None,None,,,
526,Household Chemicals,Niacin,,1200,bottles,None,None,None,,,
527,Household Chemicals,Alka-Seltzer,,1200,tablets,None,None,None,,,
528,Household Chemicals,Moth ice crystals ,,1200,can,None,None,None,,,
529,Household Chemicals,The works cleaning bleach,6%,1200,large container,None,None,None,,,
530,Household Chemicals,Deodorant ,,1200,stick,None,None,None,,,
531,Household Chemicals,Purex,,1200,large container,None,None,None,,,
532,Household Chemicals,Mod Podge,,1200,container,None,None,None,,,
533,Household Chemicals,Hand sanitizer gel,,1200,container,None,None,None,,,
534,Household Chemicals,Black tea,,1200,box,None,None,None,,,
535,Inorganics,Aluminum,Solid,1200,g,None,None,None,1,,
536,Inorganics,Aluminum Chloride,Solid,1200,g,None,None,None,1,,
537,Inorganics,Aluminum Nitrate,Solid,1200,g,None,None,None,1,,
538,Inorganics,Aluminum Nitrate,0.10 M,1200,mL,None,None,None,1,,
539,Inorganics,Aluminum Oxide,Solid,1200,g,None,None,None,1,,
540,Inorganics,Aluminum Sulfate,Solid,1200,g,None,None,None,1,,
541,Inorganics,Ammonia,2 M,1200,mL,None,None,None,1,,
542,Inorganics,Ammonium Bromide,Solid,1200,g,None,None,None,1,,
543,Inorganics,Ammonium Chloride,Solid,1200,g,None,None,None,1,,
544,Inorganics,Ammonium Dichromate,Solid,1200,g,None,None,None,1,,
545,Inorganics,Ammonium Hydroxide,2 M,1200,mL,None,None,None,1,,
546,Inorganics,Ammonium Iron (II) Sulfate,Solid,1200,g,None,None,None,1,,
547,Inorganics,Ammonium Iodide,Solid,1200,g,None,None,None,1,,
548,Inorganics,Ammonium Molybdate,Solid,1200,g,None,None,None,1,,
549,Inorganics,Ammonium Nitrate,Solid,1200,g,None,None,None,1,,
550,Inorganics,Ammonium Oxalate,Solid,1200,g,None,None,None,1,,
551,Inorganics,Ammonium Oxalate,0.10 M,1200,mL,None,None,None,1,,
552,Inorganics,Ammonium Oxalate,0.25 M,1200,mL,None,None,None,1,,
553,Inorganics,Ammonium Phosphate,Solid,1200,g,None,None,None,1,,
554,Inorganics,Ammonium Sulfate,Solid,1200,g,None,None,None,1,,
555,Inorganics,Ammonium Thiocyanate,Solid,1200,g,None,None,None,1,,
556,Inorganics,Arsenic (III) Oxide,Solid,1200,g,None,None,None,1,,
557,Inorganics,Barium Carbonate,Solid,1200,g,None,None,None,1,,
558,Inorganics,Barium Chloride,Solid,1200,g,None,None,None,1,,
559,Inorganics,Barium Chloride,0.10 M,1200,mL,None,None,None,1,,
560,Inorganics,Barium Diphenylamine Sulfonate,Solid,1200,g,None,None,None,1,,
561,Inorganics,Barium Nitrate,Solid,1200,g,None,None,None,1,,
562,Inorganics,Barium Nitrate,0.10 M,1200,ml,None,None,None,1,,
563,Inorganics,Barium Sulfate,Solid,1200,g,None,None,None,1,,
564,Inorganics,Bismuth Chloride,Solid,1200,g,None,None,None,1,,
565,Inorganics,Bismuth Chloride,0.10 M,1200,mL,None,None,None,1,,
566,Inorganics,Bromine,Liquid ,1200,mL,None,None,None,,,
567,Inorganics,Cadmium Nitrate,Solid,1200,g,None,None,None,1,,
568,Inorganics,Calcium,Solid,1200,g,None,None,None,1,,
569,Inorganics,Calcium ,1000ppm,1200,ml,None,None,None,1,,
570,Inorganics,Calcium Carbonate,Solid,1200,g,None,None,None,1,,
571,Inorganics,Calcium Chloride Anhydrous,Solid,1200,g,None,None,None,1,,
572,Inorganics,Calcium Chloride Dihydrate,Solid,1200,g,None,None,None,1,,
573,Inorganics,Calcium Chloride,Solid,1200,g,None,None,None,1,,
574,Inorganics,Calcium Chloride,0.10 M,1200,mL,None,None,None,1,,
575,Inorganics,Calcium Chloride,1.0 M,1200,,None,None,None,1,,
576,Inorganics,Calcium Chloride,10%,1200,ml,None,None,None,1,,
577,Inorganics,Calcium Hydroxide,Solid,1200,g,None,None,None,1,,
578,Inorganics,Calcium Hypochlorite,Solid,1200,g,None,None,None,1,,
579,Inorganics,Calcium Nitrate,Solid,1200,g,None,None,None,1,,
580,Inorganics,Calcium Nitrate,0.10 M,1200,mL,None,None,None,1,,
581,Inorganics,Calcium Phosphate,Solid,1200,g,None,None,None,1,,
582,Inorganics,Calcium Sulfate Anhydrous,Solid,1200,g,None,None,None,1,,
583,Inorganics,Calcium Hypochlorite,Solid,1200,g,None,None,None,1,,
584,Inorganics,Carbon (Charcoal),Solid,1200,g,None,None,None,1,,
585,Inorganics,Carbon (Activated,Solid,1200,g,None,None,None,1,,
586,Inorganics,Carbon (Dye),Unknown,1200,mL,None,None,None,1,,
587,Inorganics,Carbon Tetrachloride,99%,1200,mL,None,None,None,1,,
588,Inorganics,Ceric Hydroxide,Solid,1200,g,None,None,None,1,,
589,Inorganics,Cerium Oxalate,Solid,1200,g,None,None,None,1,,
590,Inorganics,Chromium ,Solid,1200,g,None,None,None,1,,
591,Inorganics,Chromium Acetylacetonate,Solid,1200,g,None,None,None,1,,
592,Inorganics,Chromium Chloride,Solid,1200,g,None,None,None,1,,
593,Inorganics,Chromium (III) Nitrate,Solid,1200,g,None,None,None,1,,
594,Inorganics,Cobalt,,1200,g,None,None,None,,,
595,Inorganics,Cobalt (II) Chloride,Solid,1200,g,None,None,None,1,,
596,Inorganics,Cobalt (II) Chloride,1.0 M,1200,L,None,None,None,1,,
597,Inorganics,Cobalt (II) Nitrate,Solid,1200,g,None,None,None,1,,
598,Inorganics,Cobalt (II) Nitrate,0.10 M ,1200,L,None,None,None,1,,
599,Inorganics,Cobalt (II) Nitrate,1.0 M,1200,L,None,None,None,1,,
600,Inorganics,Copper,Solid,1200,g,None,None,None,1,,
601,Inorganics,Copper (II) Acetate,Solid,1200,g,None,None,None,1,,
602,Inorganics,Copper (II) Bromide,Solid,1200,g,None,None,None,1,,
603,Inorganics,Copper (I) Chloride,Solid,1200,g,None,None,None,1,,
604,Inorganics,Copper (II) Chloride,Solid,1200,g,None,None,None,1,,
605,Inorganics,Copper (II) Nitrate,Solid,1200,g,None,None,None,1,,
606,Inorganics,Copper (II) Nitrate,0.10 M,1200,,None,None,None,1,,
607,Inorganics,Copper (II) Sulfate,Solid,1200,g,None,None,None,1,,
608,Inorganics,Copper (II) Sulfate,0.0625 mL,1200,,None,None,None,1,,
609,Inorganics,Copper (II) Sulfate,0.08 M,1200,mL,None,None,None,1,,
610,Inorganics,Copper (II) Sulfate,0.10 M,1200,mL,None,None,None,1,,
611,Inorganics,Copper (II) Sulfate,0.25 M,1200,mL,None,None,None,1,,
612,Inorganics,Copper (II) Sulfate,0.50 M,1200,mL,None,None,None,1,,
613,Inorganics,Copper (II) Sulfate,0.80 M,1200,ml,None,None,None,1,,
614,Inorganics,Copper (II) Sulfate,1.0 M,1200,ml,None,None,None,1,,
615,Inorganics,Iodine,Solid,1200,g,None,None,None,1,,
616,Inorganics,Iodine,1/10 Normal,1200,ml,None,None,None,1,,
617,Inorganics,Iron,Solid,1200,g,None,None,None,1,,
618,Inorganics,Iron (fillings),Solid,1200,g,None,None,None,1,,
619,Inorganics,Iron (Wire),Solid,1200,g,None,None,None,1,,
620,Inorganics,Iron (II) Chloride,Solid,1200,g,None,None,None,1,,
621,Inorganics,Iron (III) Chloride,Solid,1200,g,None,None,None,1,,
622,Inorganics,Iron (III) Chloride,5%,1200,mL,None,None,None,1,,
623,Inorganics,Iron (III) Nitrate,Solid,1200,g,None,None,None,1,,
624,Inorganics,Iron (III) Nitrate,0.002 M,1200,mL,None,None,None,1,,
625,Inorganics,Iron (III) Nitrate,0.10 M ,1200,mL,None,None,None,1,,
626,Inorganics,Iron (III) Nitrate,0.20 M,1200,mL,None,None,None,1,,
627,Inorganics,Iron (III) Oxide,Solid,1200,g,None,None,None,1,,
628,Inorganics,Iron (II) Sulfate,Solid,1200,g,None,None,None,1,,
629,Inorganics,Iron (II) Sulfate,0.10 M,1200,mL,None,None,None,,,
630,Inorganics,Lead,Solid,1200,g,None,None,None,1,,
631,Inorganics,Lead (II) Chloride,Solid,1200,g,None,None,None,1,,
632,Inorganics,Lead (II) Iodide,Solid,1200,g,None,None,None,1,,
633,Inorganics,Lead (II) Nitrate,Solid,1200,g,None,None,None,1,,
634,Inorganics,Lead (II) Nitrate,0.05 M,1200,mL,None,None,None,1,,
635,Inorganics,Lead (II) Nitrate,0.10 M,1200,mL,None,None,None,1,,
636,Inorganics,Lithium,Solid,1200,g,None,None,None,1,,
637,Inorganics,Lithium Chloride,Solid,1200,kg,None,None,None,1,,
638,Inorganics,Lithium Nitrate,Solid,1200,g,None,None,None,1,,
639,Inorganics,Lithium Nitrate,0.50 M,1200,mL,None,None,None,1,,
640,Inorganics,Magnesium (Metal),Solid,1200,g,None,None,None,1,,
641,Inorganics,Magnesium (Turnings),Solid,1200,g,None,None,None,1,,
642,Inorganics,Magnesium (Ribbon),Solid,1200,g,None,None,None,1,,
643,Inorganics,Magnesium Acetate,Solid,1200,g,None,None,None,1,,
644,Inorganics,Magesium Bromide,Solid,1200,g,None,None,None,1,,
645,Inorganics,Magnesium Chloride Hexahydrate,Solid,1200,g,None,None,None,1,,
646,Inorganics,Magnesium Hydroxide,Solid,1200,g,None,None,None,1,,
647,Inorganics,Magnesium Hydroxide,0.10 M,1200,,None,None,None,1,,
648,Inorganics,Magnesium Nitrate,Solid,1200,kg,None,None,None,1,,
649,Inorganics,Magnesium Nitrate,0.10 M,1200,ml,None,None,None,1,,
650,Inorganics,Magnesium Oxide,Solid,1200,g,None,None,None,1,,
651,Inorganics,Magnesium Sulfate,Solid,1200,g,None,None,None,1,could not find this on the self with the Mg label,
652,Inorganics,Magnesium Sulfate (Old),Solid,1200,g,None,None,None,1,,
653,Inorganics,Magnesium Sulfate,1.0 M,1200,L,None,None,None,1,,
654,Inorganics,Manganese,Solid,1200,g,None,None,None,1,,
655,Inorganics,Manganese (II) Chloride,Solid,1200,g,None,None,None,1,,
656,Inorganics,Manganese (IV) Dioxide,Solid,1200,g,None,None,None,1,,
657,Inorganics,Manganese (II) Sulfate,Solid,1200,g,None,None,None,1,,
658,Inorganics,Nickel,Solid,1200,g,None,None,None,1,,
659,Inorganics,Nickel (II) Chloride,Solid,1200,g,None,None,None,1,,
660,Inorganics,Nickel (II) Nitrate,Solid,1200,g,None,None,None,1,,
661,Inorganics,Nickel (II) Nitrate,1.0 M,1200,L,None,None,None,1,,
662,Inorganics,Nickel (II) Nitrate,0.1 M,1200,mL,None,None,None,,,
663,Inorganics,Nickel (II) Sulfate,Solid,1200,g,None,None,None,1,,
664,Inorganics,Nickel (II) Sulfate,0.10 M,1200,mL,None,None,None,1,,
665,Inorganics,Palladium,Solid,1200,g,None,None,None,1,,
666,Inorganics,Platinum Oxide,Solid,1200,g,None,None,None,1,,
667,Inorganics,Hydrogen Hexachloro platinate (IV) hydrate,Solid,1200,g,None,None,None,1,,
668,Inorganics,Potassium,Solid,1200,g,None,None,None,1,,
669,Inorganics,Potassium Antimonyl Tartrate,Solid,1200,g,None,None,None,1,,
670,Inorganics,Potassium Biiodate,Solid,1200,g,None,None,None,1,,
671,Inorganics,Potassium Bromate,0.010 M,1200,L,None,None,None,1,,
672,Inorganics,Potassium Bromate,0.23 M,1200,mL,None,None,None,1,,
673,Inorganics,Potassium Bromide,Solid,1200,g,None,None,None,1,,
674,Inorganics,Potassium Bromide,0.10 M,1200,mL,None,None,None,1,,
675,Inorganics,Potassium Bromide,1.0 M,1200,mL,None,None,None,1,,
676,Inorganics,Potassium Bicarbonate,Solid,1200,g,None,None,None,1,,
677,Inorganics,Potassium Carbonate,Solid,1200,g,None,None,None,1,,
678,Inorganics,Potassium Carbonate,5%,1200,mL,None,None,None,1,,
679,Inorganics,Potassium Chlorate,Solid,1200,g,None,None,None,1,,
680,Inorganics,Potassium Chromate,0.10 M,1200,mL,None,None,None,1,,
681,Inorganics,Potassium Chromate,Solid,1200,g,None,None,None,1,,
682,Inorganics,Potassium Chloride,Solid,1200,g,None,None,None,1,,
683,Inorganics,Potassium Chloride,0.10 M,1200,mL,None,None,None,1,,
684,Inorganics,Potassium Chloride,1.0 M,1200,L,None,None,None,1,,
685,Inorganics,Potassium Chloride,4 M,1200,mL,None,None,None,1,,
686,Inorganics,Potassium Chloride,Saturated,1200,mL,None,None,None,1,,
687,Inorganics,Potassium Citrate Monobasic,Solid,1200,g,None,None,None,1,,
688,Inorganics,Potassium Cyanide,Solid,1200,g,None,None,None,1,,
689,Inorganics,Potassium Dichromate,Solid,1200,kg,None,None,None,1,,
690,Inorganics,Potassium Ferrocyanide,Solid,1200,g,None,None,None,1,,
691,Inorganics,Potassium Hexacyano-ferrate (II) ,Solid,1200,g,None,None,None,,,
