chemID,chemMaterial,chemName,chemConcentration,chemAmountExpected,chemAmountUnit,chemLocationRoom,chemLocationCabinet,chemLocationShelf,chemSDS,chemNotes,chemInstrument
74,Flammables,Ethyl Acetoacetate,99%,1200,mL,Prep Room,None,None,1,,
75,Flammables,Ethyl Benzoylacetate,99%,1200,mL,Prep Room,None,None,1,,
76,Flammables,Ethyl Ether,99%,1200,L,Prep Room,None,None,1,,
77,Flammables,Ethyl Formate,97%,1200,mL,Prep Room,None,None,1,,
78,Flammables,Ethylenediamine,99%,1200,mL,Prep Room,None,None,1,,
79,Flammables,4-Fluorophenylmagnesium Bromide,1.0 M,1200,mL,Prep Room,None,None,1,,
80,Flammables,Heptaldehyde,95%,1200,mL,Prep Room,None,None,1,,
81,Flammables,n-Heptane,99%,1200,mL,Prep Room,None,None,1,,
82,Flammables,2-Heptanone,99%,1200,mL,Prep Room,None,None,1,,
83,Flammables,3-Heptanone,98%,1200,mL,Prep Room,None,None,1,,
84,Flammables,1-Heptyne,98%,1200,mL,Prep Room,None,None,1,,
85,Flammables,Hexane,95%,1200,L,Prep Room,None,None,1,,
86,Flammables,1-Hexene,97%,1200,mL,Prep Room,None,None,1,,
87,Flammables,Hexylamine,99%,1200,mL,Prep Room,None,None,1,,
88,Flammables,2-Iodo-2-methylpropane,95%,1200,mL,Prep Room,None,None,1,,
89,Flammables,Isoborneol,Solid,1200,g,Prep Room,None,None,1,,
90,Flammables,Isobutyl Alcohol,95%,1200,mL,Prep Room,None,None,1,,
91,Flammables,Isopentyl Alcohol,95%,1200,mL,Prep Room,None,None,1,,
92,Flammables,Isopropyl Alcohol,95%,1200,L,Prep Room,None,None,1,,
93,Flammables,(R)-(+)-Limonene,97%,1200,mL,Prep Room,None,None,1,,
94,Flammables,Lycopodium Powder,Solid,1200,g,Prep Room,None,None,1,,
95,Flammables,2-Methyl-2-Butanol,95%,1200,mL,Prep Room,None,None,1,,
96,Flammables,Methyl Ethyl Ketone,95%,1200,mL,Prep Room,None,None,1,,
97,Flammables,Ninhydrin,0.30%,1200,mL,Prep Room,None,None,1,,
98,Flammables,Nonane,99%,1200,mL,Prep Room,None,None,1,,
99,Flammables,Octane,98%,1200,L,Prep Room,None,None,1,,
100,Flammables,1-Octene,98%,1200,mL,Prep Room,None,None,1,,
101,Flammables,trans-2-Octene,97%,1200,mL,Prep Room,None,None,1,,
102,Flammables,2-Octyne,97%,1200,mL,Prep Room,None,None,1,,
103,Flammables,Pentane,99%,1200,L,Prep Room,None,None,1,,
104,Flammables,3-Pentanone,98%,1200,mL,Prep Room,None,None,1,,
105,Flammables,Phenol,89%,1200,L,Prep Room,None,None,1,,
106,Flammables,Piperidine,99%,1200,mL,Prep Room,None,None,1,,
107,Flammables,n-Propanol,95%,1200,mL,Prep Room,None,None,1,,
108,Flammables,Propionic Acid,99%,1200,mL,Prep Room,None,None,1,,
109,Flammables,Sodium Borohydride,Solid,1200,g,Prep Room,None,None,1,,
110,Flammables,Tetrachloroethylene,99%,1200,mL,Prep Room,None,None,1,,
111,Flammables,Tetrahydrofuran,99%,1200,mL,Prep Room,None,None,1,,
112,Flammables,Toluene,99%,1200,L,Prep Room,None,None,1,,
113,Flammables,"1,2,3-Tribromopropane",97%,1200,g,Prep Room,None,None,1,,
114,Flammables,"1,2,4-Trichlorobeneze",99%,1200,mL,Prep Room,None,None,1,,
115,Flammables,Trichloroethylene,99%,1200,mL,Prep Room,None,None,1,,
116,Flammables,Triethylamine,99%,1200,mL,Prep Room,None,None,1,,
117,Flammables,Triethyl Orthoformate,98%,1200,mL,Prep Room,None,None,1,,
118,Flammables,Triethylsilane,99%,1200,g,Prep Room,None,None,1,,
119,Flammables,m-Xylene,99%,1200,mL,Prep Room,None,None,1,,
120,Flammables,o-Xylene,96%,1200,mL,Prep Room,None,None,1,,
121,Flammables,p-Xylene,99%,1200,mL,Prep Room,None,None,1,,
122,Flammables,n-Butanol,99%,1200,L,327,None,None,1,,
123,Flammables,tert-Butanol,99%,1200,mL,327,None,None,1,,
124,Flammables,tert-Butyl Methyl Ether,99%,1200,mL,327,None,None,1,,
125,Flammables,Ethylene Glycol ,99%,1200,mL,327,None,None,1,,
126,Flammables,Ethylene Glycol Dimethyl Ether,99%,1200,mL,327,None,None,1,,
127,Flammables,n-Propyl Alcohol,99%,1200,L,327,None,None,1,,
128,Flammables,tert-Amyl Alcohol,99%,1200,L,327,None,None,1,,
129,Flammables,sec-Butanol,99%,1200,L,327,None,None,1,,
130,Flammables,Methanol,95%,1200,L,327,None,None,1,,
131,Flammables,Reagent Alcohol,95%,1200,L,327,None,None,1,,
132,Flammables,Ethyl Acetate,99%,1200,mL,325,None,None,1,,
