chemBottleIDNUM,chemMaterial,chemName,chemConcentration,chemAmountInBottle,chemAmountUnit,chemLocationRoom,chemSDS,chemNotes,chemInstrument,,,,
75,Flammables,Ethyl Benzoylacetate,99%,150,mL,Prep Room,1,,,,,,
76,Flammables,Ethyl Ether,99%,2,L,Prep Room,1,,,,,,
77,Flammables,Ethyl Formate,97%,500,mL,Prep Room,1,,,,,,
78,Flammables,Ethylenediamine,99%,900,mL,Prep Room,1,,,,,,
79,Flammables,4-Fluorophenylmagnesium Bromide,1.0 M,100,mL,Prep Room,1,,,,,,
80,Flammables,Heptaldehyde,95%,60,mL,Prep Room,1,,,,,,
81,Flammables,n-Heptane,99%,150,mL,Prep Room,1,,,,,,
82,Flammables,2-Heptanone,99%,50,mL,Prep Room,1,,,,,,
83,Flammables,3-Heptanone,98%,60,mL,Prep Room,1,,,,,,
84,Flammables,1-Heptyne,98%,80,mL,Prep Room,1,,,,,,
85,Flammables,Hexane,95%,1,L,Prep Room,1,,,,,,
86,Flammables,1-Hexene,97%,600,mL,Prep Room,1,,,,,,
87,Flammables,Hexylamine,99%,40,mL,Prep Room,1,,,,,,
88,Flammables,2-Iodo-2-methylpropane,95%,5,mL,Prep Room,1,,,,,,
89,Flammables,Isoborneol,Solid,500,g,Prep Room,1,,,,,,
90,Flammables,Isobutyl Alcohol,95%,400,mL,Prep Room,1,,,,,,
91,Flammables,Isopentyl Alcohol,95%,60,mL,Prep Room,1,,,,,,
92,Flammables,Isopropyl Alcohol,95%,2,L,Prep Room,1,,,,,,
93,Flammables,(R)-(+)-Limonene,97%,80,mL,Prep Room,1,,,,,,
94,Flammables,Lycopodium Powder,Solid,20,g,Prep Room,1,,,,,,
95,Flammables,2-Methyl-2-Butanol,95%,50,mL,Prep Room,1,,,,,,
96,Flammables,Methyl Ethyl Ketone,95%,1250,mL,Prep Room,1,,,,,,
97,Flammables,Ninhydrin,0.30%,10,mL,Prep Room,1,,,,,,
98,Flammables,Nonane,99%,1000,mL,Prep Room,1,,,,,,
99,Flammables,Octane,98%,2,L,Prep Room,1,,,,,,
100,Flammables,1-Octene,98%,20,mL,Prep Room,1,,,,,,
101,Flammables,trans-2-Octene,97%,1,mL,Prep Room,1,,,,,,
102,Flammables,2-Octyne,97%,1,mL,Prep Room,1,,,,,,
103,Flammables,Pentane,99%,4,L,Prep Room,1,,,,,,
104,Flammables,3-Pentanone,98%,200,mL,Prep Room,1,,,,,,
105,Flammables,Phenol,89%,1.5,L,Prep Room,1,,,,,,
106,Flammables,Piperidine,99%,800,mL,Prep Room,1,,,,,,
107,Flammables,n-Propanol,95%,200,mL,Prep Room,1,,,,,,
108,Flammables,Propionic Acid,99%,100,mL,Prep Room,1,,,,,,
109,Flammables,Sodium Borohydride,Solid,40,g,Prep Room,1,,,,,,
110,Flammables,Tetrachloroethylene,99%,450,mL,Prep Room,1,,,,,,
111,Flammables,Tetrahydrofuran,99%,150,mL,Prep Room,1,,,,,,
112,Flammables,Toluene,99%,3.9,L,Prep Room,1,,,,,,
113,Flammables,"1,2,3-Tribromopropane",97%,90,g,Prep Room,1,,,,,,
114,Flammables,"1,2,4-Trichlorobeneze",99%,600,mL,Prep Room,1,,,,,,
115,Flammables,Trichloroethylene,99%,300,mL,Prep Room,1,,,,,,
116,Flammables,Triethylamine,99%,1200,mL,Prep Room,1,,,,,,
117,Flammables,Triethyl Orthoformate,98%,200,mL,Prep Room,1,,,,,,
118,Flammables,Triethylsilane,99%,100,g,Prep Room,1,,,,,,
119,Flammables,m-Xylene,99%,10,mL,Prep Room,1,,,,,,
120,Flammables,o-Xylene,96%,800,mL,Prep Room,1,,,,,,
121,Flammables,p-Xylene,99%,30,mL,Prep Room,1,,,,,,
122,Flammables,n-Butanol,99%,8,L,327,1,,,,,,
123,Flammables,tert-Butanol,99%,1400,mL,327,1,,,,,,
124,Flammables,tert-Butyl Methyl Ether,99%,250,mL,327,1,,,,,,
125,Flammables,Ethylene Glycol ,99%,200,mL,327,1,,,,,,
126,Flammables,Ethylene Glycol Dimethyl Ether,99%,300,mL,327,1,,,,,,
127,Flammables,n-Propyl Alcohol,99%,2,L,327,1,,,,,,
128,Flammables,tert-Amyl Alcohol,99%,1.5,L,327,1,,,,,,
129,Flammables,sec-Butanol,99%,2,L,327,1,,,,,,
130,Flammables,Methanol,95%,6,L,327,1,,,,,,
131,Flammables,Reagent Alcohol,95%,10,L,327,1,,,,,,
132,Flammables,Ethyl Acetate,99%,1200,mL,325,1,,,,,,
133,Flammables,Toluene,99%,3200,mL,325,1,,,,,,
134,Flammables,Methyl Ethyl Ketone,99%,3,L,325,1,,,,,,
135,Flammables,Reagent Alcohol,95%,2,L,325,1,,,,,,
136,Flammables,Chloroform,99%,1,L,325,1,,,,,,
137,Flammables,Petroleum Ether,99%,1800,mL,325,1,,,,,,
138,Flammables,Acetone,99%,3500,mL,325,1,,,,,,
139,Flammables,Cyclohexane,99%,3500,mL,325,1,,,,,,
140,Flammables,Ethyl Ether,99%,1600,mL,325,1,,,,,,
141,Flammables,Methanol,95%,1300,mL,325,1,,,,,,
142,Flammables,Tetrahydrofuran,99%,200,mL,325,1,,,,,,
143,Flammables,Xylenes,95%,200,mL,325,1,,,,,,
144,Flammables,Acetone,95%,7,L,308,1,,,,,,
145,Flammables,Isopropyl Alcohol,95%,2.5,L,308,1,,,,,,
146,Flammables,Toluene,99%,2800,mL,308,1,,,,,,
147,Flammables,Xylenes,Mixed,1100,mL,308,1,,,,,,
148,Flammables,Acetone,99%,8,L,310,1,,,,,,
149,Flammables,Dicyclopentadiene,95%,1,L,310,1,,,,,,
150,Flammables,"N,N-Dimethylformamide",100%,4,L,310,1,,,,,,
151,Flammables,Gasoline,E85,2,L,310,1,,,,,,
152,Flammables,Kerosine,,7,L,310,1,,,,,,
153,Non-Flammable Organics,Acetone,Pure,300,mL,Prep Room,1,,,,,,
154,Non-Flammable Organics,Acetone,4.00 M,3.3,L,Prep Room,1,,,,,,
155,Non-Flammable Organics,Acetone:Water,50%,400,mL,Prep Room,1,,,,,,
156,Non-Flammable Organics,Acetone,10%,450,mL,Prep Room,1,,,,,,
157,Non-Flammable Organics,Acetic Anhydride,98%,1,L,Prep Room,1,,,,,,
158,Non-Flammable Organics,Acetylferrocene,95%,15,g,Prep Room,1,,,,,,
159,Non-Flammable Organics,Acetylsalicylic Acid,99%,600,g,Prep Room,1,,,,,,
160,Non-Flammable Organics,Acetanilide,97%,200,g,Prep Room,1,,,,,,
161,Non-Flammable Organics,4-Acetamidophenol,98%,60,g,Prep Room,1,,,,,,
162,Non-Flammable Organics,Acetophenone,99%,30,mL,Prep Room,1,,,,,,
163,Non-Flammable Organics,p-Acetophenetidide,97%,80,g,Prep Room,1,,,,,,
164,Non-Flammable Organics,Adipic Acid,99%,300,g,Prep Room,1,,,,,,
165,Non-Flammable Organics,3-Aminobenzoic Acid,98%,15,g,Prep Room,1,,,,,,
