chemBottleIDNUM,chemMaterial,chemName,chemConcentration,chemAmountInBottle,chemAmountUnit,chemLocationRoom,chemSDS,chemNotes,chemInstrument,,,,
327,Non-Flammable Organics,Theopylline,Solid,80,g,Prep Room,1,,,,,,
328,Non-Flammable Organics,Thioacetamide,Solid,120,g,Prep Room,1,,,,,,
329,Non-Flammable Organics,Thioacetamide,1.0 M,200,mL,Prep Room,1,,,,,,
330,Non-Flammable Organics,Tocopherol,40%,20,g,Prep Room,1,,,,,,
331,Non-Flammable Organics,p-Tolualdehyde,97%,40,mL,Prep Room,1,,,,,,
332,Non-Flammable Organics,m-Toluic Acid,99%,80,g,Prep Room,1,,,,,,
333,Non-Flammable Organics,o-Toluic Acid,99%,40,g,Prep Room,1,,,,,,
334,Non-Flammable Organics,p-Toluidine,99.70%,800,g,Prep Room,1,,,,,,
335,Non-Flammable Organics,"2,4,6-Trichlorophenol",98%,600,g,Prep Room,1,,,,,,
336,Non-Flammable Organics,Triethylene Glycol,99%,1600,mL,Prep Room,1,,,,,,
337,Non-Flammable Organics,"Trimethyl 1,3,5-benzenetricarboxylate",98%,5,g,Prep Room,1,,,,,,
338,Non-Flammable Organics,Triphenylmethanol,97%,40,g,Prep Room,1,,,,,,
339,Non-Flammable Organics,Triphenylphospine,99%,80,g,Prep Room,1,,,,,,
340,Non-Flammable Organics,Tween 80,58%,450,mL,Prep Room,1,,,,,,
341,Non-Flammable Organics,Undecanoic Acid,Solid,8,g,Prep Room,1,,,,,,
342,Non-Flammable Organics,Urea,100%,300,g,Prep Room,1,,,,,,
343,Biochem,Adenine,Solid,5,g,Prep Room,1,,,,,,
344,Biochem,Alpha Alanine,Solid,8,g,Prep Room,1,,,,,,
345,Biochem,Beta Alanine,Solid,2,g,Prep Room,1,,,,,,
346,Biochem,Albumin,Solid,1,g,Prep Room,1,,,,,,
347,Biochem,Aminoacetic Acid,Solid,1,g,Prep Room,1,,,,,,
348,Biochem,L-Arginine,Solid,10,g,Prep Room,1,,,,,,
349,Biochem,L-Ascorbic Acid,Solid,200,g,Prep Room,1,,,,,,
350,Biochem,L-Asparagine,Solid,2,g,Prep Room,1,,,,,,
351,Biochem,DL Aspartic Acid,Solid,1.5,g,Prep Room,1,,,,,,
352,Biochem,Bathophenanthroline,Solid,3,g,Prep Room,1,,,,,,
353,Biochem,Bio-Gel HT,Solid,600,g,Prep Room,1,,,,,,
354,Biochem,Brilliant Blue R,55%,25,g,Prep Room,1,,,,,,
355,Biochem,CM Cellulose,Solid,300,g,Prep Room,1,,,,,,
356,Biochem,DEAE Cellulose,Solid,150,g,Prep Room,1,,,,,,
357,Biochem,MN-Cellulose,Solid,300,g,Prep Room,1,,,,,,
358,Biochem,L Cystine,Solid,2,g,Prep Room,1,,,,,,
359,Biochem,L Cystine Hydrochloride,Solid,20,g,Prep Room,1,,,,,,
360,Biochem,Dextran 10,Solid,50,g,Prep Room,1,,,,,,
361,Biochem,Dextran T20,Solid,50,g,Prep Room,1,,,,,,
362,Biochem,Dextran T40,Solid,40,g,Prep Room,1,,,,,,
363,Biochem,Dextran T110 ,Solid,60,g,Prep Room,1,,,,,,
364,Biochem,Dextrine,Solid,500,g,Prep Room,1,,,,,,
365,Biochem,D-Fructose,98%,5000,g,Prep Room,1,,,,,,
366,Biochem,Gentian Violet,Solid,20,g,Prep Room,1,,,,,,
367,Biochem,D-Glucose,96%,1500,g,Prep Room,1,,,,,,
368,Biochem,Glucose Oxidase,Solid,0.20,g,Prep Room,1,,,,,,
369,Biochem,L Glutamic Acid,Solid,40,g,Prep Room,1,,,,,,
370,Biochem,L-Glutamine,99%,100,g,Prep Room,1,,,,,,
371,Biochem,Glycinamide,Solid,25,g,Prep Room,1,,,,,,
372,Biochem,Glycine,Solid,400,g,Prep Room,1,,,,,,
373,Biochem,Glycine Ethyl Ester,Solid,20,g,Prep Room,1,,,,,,
374,Biochem,Glycyl-Glycine,Solid,20,g,Prep Room,1,,,,,,
375,Biochem,L-Histidine HCl,Solid,2,g,Prep Room,1,,,,,,
376,Biochem,Isoleucine,Solid,5,g,Prep Room,1,,,,,,
377,Biochem,Lauryl Sufate,95%,300,g,Prep Room,1,,,,,,
378,Biochem,L-Lysine Dihydrochloride,Solid,20,g,Prep Room,1,,,,,,
379,Biochem,DL Methionine,Solid,3,g,Prep Room,1,,,,,,
380,Biochem,N-tris(hydroxymethyl)methyl-2-amino-ethane Sulfonic Acid,Solid,15,g,Prep Room,1,,,,,,
381,Biochem,3-(N-Morpholino)propanesulfonic Acid,Solid,300,g,Prep Room,1,,,,,,
382,Biochem,DL Norleucine,Solid,3,g,Prep Room,1,,,,,,
383,Biochem,DL Norvaline,Solid,3,g,Prep Room,1,,,,,,
384,Biochem,DL Phenylalanine,Solid,3,g,Prep Room,1,,,,,,
385,Biochem,Phenylglyoxal Monohydrate,97%,4,g,Prep Room,1,,,,,,
386,Biochem,L-Proline,Solid,40,g,Prep Room,1,,,,,,
387,Biochem,Protamine Sulfate,Solid,35,g,Prep Room,1,,,,,,
388,Biochem,Raffinose,Solid,20,g,Prep Room,1,,,,,,
389,Biochem,L-Rhamnose,Solid,20,g,Prep Room,1,,,,,,
390,Biochem,Riboflavin,Solid,80,g,Prep Room,1,,,,,,
391,Biochem,Sephadex,A-25,400,g,Prep Room,1,,,,,,
392,Biochem,Sephadex,C-25,50,g,Prep Room,1,,,,,,
393,Biochem,Sephadex,C-50,30,g,Prep Room,1,,,,,,
394,Biochem,Sephadex,G-10,100,g,Prep Room,1,,,,,,
395,Biochem,Sephadex,G-15,170,g,Prep Room,1,,,,,,
396,Biochem,Sephadex,G-25,20,g,Prep Room,1,,,,,,
397,Biochem,Sephadex,G-50,120,g,Prep Room,1,,,,,,
398,Biochem,Sephadex,G-100,100,g,Prep Room,1,,,,,,
399,Biochem,Sephadex,G-200,50,g,Prep Room,1,,,,,,
400,Biochem,Sephadex,LH-20,80,g,Prep Room,1,,,,,,
401,Biochem,DL Serine,Solid,3,g,Prep Room,1,,,,,,
402,Biochem,Sodium Dodecyl Sulfate,99%,70,g,Prep Room,1,,,,,,
403,Biochem,Sorbic Acid,99%,70,g,Prep Room,1,,,,,,
404,Biochem,Sucralose,Solid,70,g,Prep Room,1,,,,,,
405,Biochem,Sucrose,Solid,2.5,kg,Prep Room,1,,,,,,
406,Biochem,Starch,Solid,2,kg,Prep Room,1,,,,,,
407,Biochem,Sulphoxyethyl Cellulose,Solid,30,g,Prep Room,1,,,,,,
408,Biochem,TAPS,Solid,5,g,Prep Room,1,,,,,,
409,Biochem,DL Threonine,Solid,3,g,Prep Room,1,,,,,,
410,Biochem,L-Tryptophan,98%,25,g,Prep Room,1,,,,,,
411,Biochem,DL Tyrosine,Solid,20,g,Prep Room,1,,,,,,
412,Biochem,DL Valine,Solid,30,g,Prep Room,1,,,,,,
413,Biochem,Vitamin A,Solid,20,g,Prep Room,1,,,,,,
414,Biochem,Vitamin B,Solid,50,g,Prep Room,1,,,,,,
415,Synthetics,Amberlite,,1000,g,,1,,,,,,
416,Synthetics,Boiling Chips,,400,g,,1,,,,,,
417,Synthetics,Dessicant,,300,g,,1,,,,,,
418,Synthetics,Glass Beads,,100,g,,1,,,,,,
419,Synthetics,Molecular Sieves,,2100,g,,1,,,,,,
420,Synthetics,Plaster Paris,,400,g,,1,,,,,,
421,Synthetics,Resin,,2000,g,,1,,,,,,
422,Synthetics,Silica Gel,,2500,g,,1,,,,,,
423,Synthetics,Soda Lime,,400,g,,1,,,,,,
424,Indicators,Aluminon,Solid,15,g,,1,,,,,,
425,Indicators,Aluminon,0.10 M,300,mL,,1,,,,,,
426,Indicators,Aluminon,1%,50,mL,,1,,,,,,
427,Indicators,Amido Black,Solid,6,g,,1,,,,,,
428,Indicators,Ammonia Color Concentrate,Solid,5,g,,0,,,,,,
429,Indicators,Alizarin Red,0.20%,5,mL,,1,,,,,,
430,Indicators,Bromophenol Blue,,400,mL,,1,,,,,,
431,Indicators,Bromocresol Green,0.0000993,300,mL,,1,,,,,,
432,Indicators,Bromocresol Purple,,350,mL,,1,,,,,,
433,Indicators,Eriochrome Black,Solid,100,g,,1,,,,,,
434,Indicators,Magneson,,350,mL,,1,,,,,,
435,Indicators,Methylene Blue,1%,2,L,,1,,,,,,
436,Indicators,Methyl Orange,Solid,400,g,,1,,,,,,
437,Indicators,Methyl Orange,1%,500,mL,,,,,,,,
438,Indicators,Red Cabbage Extract,Solid,5,g,,1,,,,,,
439,Indicators,Methyl Red,Solid,10,g,,1,,,,,,
440,Indicators,Methyl Red,1%,500,mL,,,,,,,,
441,Indicators,Napthol Blue Black,Solid,25,g,,1,,,,,,
442,Indicators,Phenol Red,1%,80,mL,,1,,,,,,
443,Indicators,Starch Indicator,1%,25,mL,,1,,,,,,
444,Indicators,Thymol Blue,0.04%,50,mL,,1,,,,,,
445,Indicators,Universal Indicator,,700,mL,,1,,,,,,
446,Indicators,Phenolphthalein,Solid,800,g,,1,,,,,,
447,Indicators,Phenolphthalein,0.5% in 1:1 EtOH:H2O,500,mL,,1,,,,,,
448,Household Chemicals,Bleach,,800,mL,,,,,,,,
449,Household Chemicals,Clorox,,1/3,of a bottle,,,,,,,,
450,Household Chemicals,Vinegar,,1,L,,,,,,,,
451,Household Chemicals,Woolite,,1,can,,,,,,,,
452,Household Chemicals,WD-40,,1,can,,,,,,,,
453,Household Chemicals,Nail Polish Remover,,1/3,of a bottle,,,,,,,,
454,Household Chemicals,Table Salt,,1000,g,,,,,,,,
455,Household Chemicals,Glass and Surface Cleaner,,2,bottle,,,,,,,,
456,Household Chemicals,Comet Cleaner,,1,can,,,,,,,,
457,Household Chemicals,Gain Ultra,,0,bottle,,,,,,,,
458,Household Chemicals,Brewing Tablets,,1/2,bags,,,,,,,,
459,Household Chemicals,Greenworks Cleaner,,1/2,bottle,,,,,,,,
460,Household Chemicals,Durex,,1,gallon,,,,,,,,
461,Household Chemicals,Windex,,1/6,bottle,,,,,,,,
462,Household Chemicals,409 Cleaner,,1,bottle,,,,,,,,
463,Household Chemicals,Fantastik,,1,bottle,,,,,,,,
464,Household Chemicals,Baking Soda,,100,g,,,,,,,,
465,Household Chemicals,SOS Cleaner,,1/8,box,,,,,,,,
466,Household Chemicals,Sta-Flo Starch,,1,bottle,,,,,,,,
467,Household Chemicals,Ibuprofen,,3.5,bottles,,,,,,,,
468,Household Chemicals,Iodine,,1,bottle,,,,,,,,
469,Household Chemicals,Lemon Juice,,0,bottle,,,,,,,,
470,Household Chemicals,Lime Juice,,0,bottle,,,,,,,,
471,Household Chemicals,Sunscreen,,1,bottle,,,,,,,,
472,Household Chemicals,Spray On Sunscreen,,2,bottles,,,,,,,,
473,Household Chemicals,Naproxen,,2,bottles,,,,,,,,
474,Household Chemicals,Analgesic,,5,bottles,,,,,,,,
475,Household Chemicals,Magnesia,,1,bottle,,,,,,,,
476,Household Chemicals,Glycerin,,1 & 1/8,bottle,,,,,,,,
477,Household Chemicals,Mucinex,,0,bottle,,,,,,,,
478,Household Chemicals,Iron Tablet,,3/4,bottle,,,,,,,,
479,Household Chemicals,Antacid,,1/2 & 1/4,of a bottle,,,33 tablets,,,,,
480,Household Chemicals,Lactase,,120,tablets,,,,,,,,
481,Household Chemicals,Grecian Formula,,1,bottle,,,,,,,,
482,Household Chemicals,Shortening,,2,containers,,,,,,,,
483,Household Chemicals,Whey Protein,,2,large containers,,,,,,,,
484,Household Chemicals,Detergent,,4,bottles,,,(each has 1/2),,,,,
485,Household Chemicals,Coke,,2,liter,,,,,,,,
486,Household Chemicals,Hydrogen Peroxide,,1.10,bottles,,,,,,,,
487,Household Chemicals,Cotton Balls,,70,,,,,,,,,
488,Household Chemicals,Propel,,14,bottles,,,,,,,,
489,Household Chemicals,Shampoo,,1,bottle,,,,,,,,
490,Household Chemicals,Sugar,,3,bags,,,,,,,,
491,Household Chemicals,Nutmeg,,6,shakers,,,,,,,,
492,Household Chemicals,Green Tea,,1/2,a bag,,,,,,,,
493,Household Chemicals,Molasses,,1,container,,,,,,,,
494,Household Chemicals,Sand,,3/4,of a bottle,,,,,,,,
495,Household Chemicals,Meat Tenderizer,,3/4,shakers,,,,,,,,
496,Household Chemicals,Corn Syrup,,1,bottle,,,,,,,,
497,Household Chemicals,Corn Starch,,3,boxes,,,,,,,,
498,Household Chemicals,Kool-aid,,0,packets,,,,,,,,
499,Household Chemicals,Vegetable Oil,,2,L,,,,,,,,
500,Household Chemicals,Olive Oil,,1/6,bottle,,,,,,,,
501,Household Chemicals,RainX,,4,L,,,,,,,,
502,Household Chemicals,Antifreeze,,1,large bottle,,,,,,,,
503,Household Chemicals,Gallon Freezer Bag,,0,bags,,,,,,,,
504,Household Chemicals,Food Dye,,tons,,,,,,,,,
505,Household Chemicals,Misc. Snacks,,8,different things,,,,,,,,
506,Household Chemicals,Misc. Colored Water,,6,,,,,,,,,
507,Household Chemicals,Uriscan,,1000,strips,,,,,,,,
508,Household Chemicals,Isopropyl Alcohol,,10,ml,,,,,,,,
509,Household Chemicals,Borax,,1,big box,,,,,,,,
510,Household Chemicals,Rolaids,,68,tablets,,,,,,,,
511,Household Chemicals,Glucose meter test strips,,5,boxes,,,,,,,,
512,Household Chemicals,Multivitamin ,,3,bottles,,,,,,,,
513,Household Chemicals,Active yeast,,9,packets,,,,,,,,
514,Household Chemicals,Peanut oil,,1/8,of a gallon,,,,,,,,
515,Household Chemicals,Honey ,,1/4,of a bottle,,,,,,,,
516,Household Chemicals,Popcorn kernels ,,1,bottle,,,,,,,,
517,Household Chemicals,Centrum ,,2,bottle,,,,,,,,
518,Household Chemicals,Dog food,,1/4,of a bottle,,,,,,,,
519,Household Chemicals,Granulated Alum  ,,1/4,bottle,,,,,,,,
520,Household Chemicals,Lutein,,1/2,bottle,,,,,,,,
521,Household Chemicals,Anacin,,1,bottle,,,,,,,,
522,Household Chemicals,Aspirin ,,5,bottles,,,,,,,,
523,Household Chemicals,Vitamin C,,1,bottle,,,,,,,,
524,Household Chemicals,Zinc Lozenges,,1,bottle,,,,,,,,
525,Household Chemicals,Vitamin B-1,,2,bottles,,,,,,,,
526,Household Chemicals,Niacin,,2,bottles,,,,,,,,
527,Household Chemicals,Alka-Seltzer,,22,tablets,,,,,,,,
528,Household Chemicals,Moth ice crystals ,,1,can,,,,,,,,
529,Household Chemicals,The works cleaning bleach,6%,2,large container,,,,,,,,
530,Household Chemicals,Deodorant ,,1,stick,,,,,,,,
531,Household Chemicals,Purex,,1,large container,,,,,,,,
532,Household Chemicals,Mod Podge,,1,container,,,,,,,,
533,Household Chemicals,Hand sanitizer gel,,1,container,,,,,,,,
534,Household Chemicals,Black tea,,1,box,,,,,,,,
535,Inorganics,Aluminum,Solid,1200,g,,1,,,,,,
536,Inorganics,Aluminum Chloride,Solid,200,g,,1,,,,,,
537,Inorganics,Aluminum Nitrate,Solid,500,g,,1,,,,,,
538,Inorganics,Aluminum Nitrate,0.10 M,800,mL,,1,,,,,,
539,Inorganics,Aluminum Oxide,Solid,350,g,,1,,,,,,
540,Inorganics,Aluminum Sulfate,Solid,600,g,,1,,,,,,
541,Inorganics,Ammonia,2 M,100,mL,,1,,,,,,
542,Inorganics,Ammonium Bromide,Solid,400,g,,1,,,,,,
543,Inorganics,Ammonium Chloride,Solid,300,g,,1,,,,,,
544,Inorganics,Ammonium Dichromate,Solid,400,g,,1,,,,,,
545,Inorganics,Ammonium Hydroxide,2 M,250,mL,,1,,,,,,
546,Inorganics,Ammonium Iron (II) Sulfate,Solid,125,g,,1,,,,,,
547,Inorganics,Ammonium Iodide,Solid,15,g,,1,,,,,,
548,Inorganics,Ammonium Molybdate,Solid,450,g,,1,,,,,,
549,Inorganics,Ammonium Nitrate,Solid,1200,g,,1,,,,,,
550,Inorganics,Ammonium Oxalate,Solid,75,g,,1,,,,,,
551,Inorganics,Ammonium Oxalate,0.10 M,350,mL,,1,,,,,,
552,Inorganics,Ammonium Oxalate,0.25 M,400,mL,,1,,,,,,
553,Inorganics,Ammonium Phosphate,Solid,350,g,,1,,,,,,
554,Inorganics,Ammonium Sulfate,Solid,2750,g,,1,,,,,,
555,Inorganics,Ammonium Thiocyanate,Solid,450,g,,1,,,,,,
556,Inorganics,Arsenic (III) Oxide,Solid,125,g,,1,,,,,,
557,Inorganics,Barium Carbonate,Solid,400,g,,1,,,,,,
558,Inorganics,Barium Chloride,Solid,900,g,,1,,,,,,
559,Inorganics,Barium Chloride,0.10 M,1250,mL,,1,,,,,,
560,Inorganics,Barium Diphenylamine Sulfonate,Solid,75,g,,1,,,,,,
561,Inorganics,Barium Nitrate,Solid,300,g,,1,,,,,,
562,Inorganics,Barium Nitrate,0.10 M,1000,ml,,1,,,,,,
563,Inorganics,Barium Sulfate,Solid,200,g,,1,,,,,,
564,Inorganics,Bismuth Chloride,Solid,10,g,,1,,,,,,
565,Inorganics,Bismuth Chloride,0.10 M,450,mL,,1,,,,,,
566,Inorganics,Bromine,Liquid ,50,mL,,,,,,,,
567,Inorganics,Cadmium Nitrate,Solid,100,g,,1,,,,,,
568,Inorganics,Calcium,Solid,10,g,,1,,,,,,
569,Inorganics,Calcium ,1000ppm,350,ml,,1,,,,,,
570,Inorganics,Calcium Carbonate,Solid,3500,g,,1,,,,,,
571,Inorganics,Calcium Chloride Anhydrous,Solid,100,g,,1,,,,,,
572,Inorganics,Calcium Chloride Dihydrate,Solid,400,g,,1,,,,,,
573,Inorganics,Calcium Chloride,Solid,1100,g,,1,,,,,,
574,Inorganics,Calcium Chloride,0.10 M,200,mL,,1,,,,,,
575,Inorganics,Calcium Chloride,1.0 M,0,,,1,,,,,,
576,Inorganics,Calcium Chloride,10%,200,ml,,1,,,,,,
577,Inorganics,Calcium Hydroxide,Solid,300,g,,1,,,,,,
578,Inorganics,Calcium Hypochlorite,Solid,200,g,,1,,,,,,
579,Inorganics,Calcium Nitrate,Solid,500,g,,1,,,,,,
580,Inorganics,Calcium Nitrate,0.10 M,650,mL,,1,,,,,,
581,Inorganics,Calcium Phosphate,Solid,400,g,,1,,,,,,
582,Inorganics,Calcium Sulfate Anhydrous,Solid,400,g,,1,,,,,,
583,Inorganics,Calcium Hypochlorite,Solid,200,g,,1,,,,,,
584,Inorganics,Carbon (Charcoal),Solid,1000,g,,1,,,,,,
585,Inorganics,Carbon (Activated,Solid,800,g,,1,,,,,,
586,Inorganics,Carbon (Dye),Unknown,100,mL,,1,,,,,,
587,Inorganics,Carbon Tetrachloride,99%,500,mL,,1,,,,,,
588,Inorganics,Ceric Hydroxide,Solid,25,g,,1,,,,,,
589,Inorganics,Cerium Oxalate,Solid,100,g,,1,,,,,,
590,Inorganics,Chromium ,Solid,50,g,,1,,,,,,
591,Inorganics,Chromium Acetylacetonate,Solid,20,g,,1,,,,,,
592,Inorganics,Chromium Chloride,Solid,200,g,,1,,,,,,
593,Inorganics,Chromium (III) Nitrate,Solid,300,g,,1,,,,,,
594,Inorganics,Cobalt,,50,g,,,,,,,,
595,Inorganics,Cobalt (II) Chloride,Solid,200,g,,1,,,,,,
596,Inorganics,Cobalt (II) Chloride,1.0 M,3,L,,1,,,,,,
597,Inorganics,Cobalt (II) Nitrate,Solid,75,g,,1,,,,,,
598,Inorganics,Cobalt (II) Nitrate,0.10 M ,4,L,,1,,,,,,
599,Inorganics,Cobalt (II) Nitrate,1.0 M,3,L,,1,,,,,,
600,Inorganics,Copper,Solid,800,g,,1,,,,,,
601,Inorganics,Copper (II) Acetate,Solid,450,g,,1,,,,,,
602,Inorganics,Copper (II) Bromide,Solid,70,g,,1,,,,,,
603,Inorganics,Copper (I) Chloride,Solid,200,g,,1,,,,,,
604,Inorganics,Copper (II) Chloride,Solid,400,g,,1,,,,,,
605,Inorganics,Copper (II) Nitrate,Solid,300,g,,1,,,,,,
606,Inorganics,Copper (II) Nitrate,0.10 M,,,,1,,,,,,
607,Inorganics,Copper (II) Sulfate,Solid,1400,g,,1,,,,,,
608,Inorganics,Copper (II) Sulfate,0.0625 mL,,,,1,,,,,,
609,Inorganics,Copper (II) Sulfate,0.08 M,150,mL,,1,,,,,,
610,Inorganics,Copper (II) Sulfate,0.10 M,450,mL,,1,,,,,,
611,Inorganics,Copper (II) Sulfate,0.25 M,3800,mL,,1,,,,,,
612,Inorganics,Copper (II) Sulfate,0.50 M,400,mL,,1,,,,,,
613,Inorganics,Copper (II) Sulfate,0.80 M,600,ml,,1,,,,,,
614,Inorganics,Copper (II) Sulfate,1.0 M,1500,ml,,1,,,,,,
615,Inorganics,Iodine,Solid,200,g,,1,,,,,,
616,Inorganics,Iodine,1/10 Normal,900,ml,,1,,,,,,
617,Inorganics,Iron,Solid,300,g,,1,,,,,,
618,Inorganics,Iron (fillings),Solid,2000,g,,1,,,,,,
619,Inorganics,Iron (Wire),Solid,500,g,,1,,,,,,
620,Inorganics,Iron (II) Chloride,Solid,100,g,,1,,,,,,
621,Inorganics,Iron (III) Chloride,Solid,300,g,,1,,,,,,
622,Inorganics,Iron (III) Chloride,5%,1700,mL,,1,,,,,,
623,Inorganics,Iron (III) Nitrate,Solid,1300,g,,1,,,,,,
624,Inorganics,Iron (III) Nitrate,0.002 M,250,mL,,1,,,,,,
625,Inorganics,Iron (III) Nitrate,0.10 M ,200,mL,,1,,,,,,
626,Inorganics,Iron (III) Nitrate,0.20 M,200,mL,,1,,,,,,
627,Inorganics,Iron (III) Oxide,Solid,300,g,,1,,,,,,
628,Inorganics,Iron (II) Sulfate,Solid,1600,g,,1,,,,,,
629,Inorganics,Iron (II) Sulfate,0.10 M,600,mL,,,,,,,,
630,Inorganics,Lead,Solid,150,g,,1,,,,,,
631,Inorganics,Lead (II) Chloride,Solid,200,g,,1,,,,,,
632,Inorganics,Lead (II) Iodide,Solid,40,g,,1,,,,,,
633,Inorganics,Lead (II) Nitrate,Solid,750,g,,1,,,,,,
634,Inorganics,Lead (II) Nitrate,0.05 M,2200,mL,,1,,,,,,
635,Inorganics,Lead (II) Nitrate,0.10 M,600,mL,,1,,,,,,
636,Inorganics,Lithium,Solid,100,g,,1,,,,,,
637,Inorganics,Lithium Chloride,Solid,2,kg,,1,,,,,,
638,Inorganics,Lithium Nitrate,Solid,20,g,,1,,,,,,
639,Inorganics,Lithium Nitrate,0.50 M,250,mL,,1,,,,,,
640,Inorganics,Magnesium (Metal),Solid,200,g,,1,,,,,,
641,Inorganics,Magnesium (Turnings),Solid,2000,g,,1,,,,,,
642,Inorganics,Magnesium (Ribbon),Solid,75,g,,1,,,,,,
643,Inorganics,Magnesium Acetate,Solid,250,g,,1,,,,,,
644,Inorganics,Magesium Bromide,Solid,500,g,,1,,,,,,
645,Inorganics,Magnesium Chloride Hexahydrate,Solid,400,g,,1,,,,,,
646,Inorganics,Magnesium Hydroxide,Solid,400,g,,1,,,,,,
647,Inorganics,Magnesium Hydroxide,0.10 M,0,,,1,,,,,,
648,Inorganics,Magnesium Nitrate,Solid,2.5,kg,,1,,,,,,
649,Inorganics,Magnesium Nitrate,0.10 M,50,ml,,1,,,,,,
650,Inorganics,Magnesium Oxide,Solid,0,g,,1,,,,,,
651,Inorganics,Magnesium Sulfate,Solid,5000,g,,1,could not find this on the self with the Mg label,,,,,
652,Inorganics,Magnesium Sulfate (Old),Solid,2500,g,,1,,,,,,
653,Inorganics,Magnesium Sulfate,1.0 M,1.1,L,,1,,,,,,
654,Inorganics,Manganese,Solid,10,g,,1,,,,,,
655,Inorganics,Manganese (II) Chloride,Solid,30,g,,1,,,,,,
656,Inorganics,Manganese (IV) Dioxide,Solid,10,g,,1,,,,,,
657,Inorganics,Manganese (II) Sulfate,Solid,400,g,,1,,,,,,
658,Inorganics,Nickel,Solid,50,g,,1,,,,,,
659,Inorganics,Nickel (II) Chloride,Solid,800,g,,1,,,,,,
660,Inorganics,Nickel (II) Nitrate,Solid,1100,g,,1,,,,,,
661,Inorganics,Nickel (II) Nitrate,1.0 M,4.5,L,,1,,,,,,
662,Inorganics,Nickel (II) Nitrate,0.1 M,500,mL,,,,,,,,
663,Inorganics,Nickel (II) Sulfate,Solid,100,g,,1,,,,,,
664,Inorganics,Nickel (II) Sulfate,0.10 M,50,mL,,1,,,,,,
665,Inorganics,Palladium,Solid,20,g,,1,,,,,,
666,Inorganics,Platinum Oxide,Solid,3,g,,1,,,,,,
667,Inorganics,Hydrogen Hexachloro platinate (IV) hydrate,Solid,1,g,,1,,,,,,
668,Inorganics,Potassium,Solid,5,g,,1,,,,,,
669,Inorganics,Potassium Antimonyl Tartrate,Solid,400,g,,1,,,,,,
670,Inorganics,Potassium Biiodate,Solid,90,g,,1,,,,,,
671,Inorganics,Potassium Bromate,0.010 M,6,L,,1,,,,,,
672,Inorganics,Potassium Bromate,0.23 M,800,mL,,1,,,,,,
673,Inorganics,Potassium Bromide,Solid,400,g,,1,,,,,,
674,Inorganics,Potassium Bromide,0.10 M,4000,mL,,1,,,,,,
675,Inorganics,Potassium Bromide,1.0 M,2600,mL,,1,,,,,,
676,Inorganics,Potassium Bicarbonate,Solid,150,g,,1,,,,,,
677,Inorganics,Potassium Carbonate,Solid,300,g,,1,,,,,,
678,Inorganics,Potassium Carbonate,5%,400,mL,,1,,,,,,
679,Inorganics,Potassium Chlorate,Solid,200,g,,1,,,,,,
680,Inorganics,Potassium Chromate,0.10 M,400,mL,,1,,,,,,
681,Inorganics,Potassium Chromate,Solid,300,g,,1,,,,,,
682,Inorganics,Potassium Chloride,Solid,400,g,,1,,,,,,
683,Inorganics,Potassium Chloride,0.10 M,1200,mL,,1,,,,,,
684,Inorganics,Potassium Chloride,1.0 M,1,L,,1,,,,,,
685,Inorganics,Potassium Chloride,4 M,200,mL,,1,,,,,,
686,Inorganics,Potassium Chloride,Saturated,200,mL,,1,,,,,,
687,Inorganics,Potassium Citrate Monobasic,Solid,600,g,,1,,,,,,
688,Inorganics,Potassium Cyanide,Solid,5,g,,1,,,,,,
689,Inorganics,Potassium Dichromate,Solid,2.5,kg,,1,,,,,,
690,Inorganics,Potassium Ferrocyanide,Solid,70,g,,1,,,,,,
691,Inorganics,Potassium Hexacyano-ferrate (II) ,Solid,300,g,,,,,,,,
692,Inorganics,Potassium Hydrogen Phthalate,Solid,50,g,,1,,,,,,
693,Inorganics,Potassium Hydroxide,Solid,200,g,,1,,,,,,
694,Inorganics,Potassium Hydroxide ,1 M,100,mL,,1,,,,,,
695,Inorganics,Potassium Iodate,Solid,300,g,,1,,,,,,
696,Inorganics,Potassium Iodate,0.10 M,1350,mL,,1,,,,,,
697,Inorganics,Potassium Iodide,Solid,2500,g,,1,,,,,,
698,Inorganics,Potassium Iodide,0.10 M,2500,mL,,1,,,,,,
699,Inorganics,Potassium Iodide,1.0 M,2500,mL,,1,,,,,,
700,Inorganics,Potassium Iodide,Concentrated,200,mL,,1,,,,,,
701,Inorganics,Potassium Nitrate,Solid,400,g,,1,,,,,,
702,Inorganics,Potassium Nitrate,0.10 M,250,mL,,1,,,,,,
703,Inorganics,Potassium Oxalate,Solid,400,g,,1,,,,,,
704,Inorganics,Potassium Perchlorate,Solid,350,g,,1,,,,,,
705,Inorganics,Potassium Periodate,Solid,75,g,,1,,,,,,
706,Inorganics,Potassium Permanganate,Solid,200,g,,1,,,,,,
707,Inorganics,Potassium Permanganate,1.00 M,3.5,L,,1,,,,,,
708,Inorganics,Potassium Permanganate,Bulk Solid,2000,g,,1,,,,,,
709,Inorganics,Potassium Persulfate,Solid,300,g,,1,,,,,,
710,Inorganics,Potassium Phosphate,Solid,500,g,,1,,,,,,
711,Inorganics,Potassium Phosphate Monobasic,Solid,1750,g,,1,,,,,,
712,Inorganics,Potassium Sodium Tartrate,Solid,1200,g,,1,,,,,,
713,Inorganics,Potassium Sulfate,Solid,500,g,,1,,,,,,
